[SETTINGS]
#cell_size(width)	cell_size(height)	num_col_cells	num_row_cells
100	100	40	40
# type :0 = Mario , 1 = Brick, 2 = Goomba, 3 = Koopas, 4 = NoCollisionObjects, 5= RECT, 6=PIPE NORMAL, 7= koopas xanh_bay, 8= koopas ??_b?, 9= koopas ??_bay, 10=Coin NORMAL, 11=Goomba red bay, 12= Fire Bullet,13= FLOWER RED,14=Flower Bullet, 15=COIN CAN MOVE, 16=Leaf ,17=Mushroom Red,18=Question Brick Have Leaf, 19=Mushroom Green ,20=Question Brick Just Have Mushroom , 21= FLOWER GREEN , 22= FLOWER GREEN CAN SHOOT , 23= BREAKABLE BRICK , 24=BELL
#	25=HUD PANEL , 26=MARIO_LUIGI_HUD , 27=LIFE, 28= MONEY, 29=SCORE , 30=TIME_PICKER , 31= WORLD , 32=STACK NORMAL, 33=STACK MAX, 34=ITEM , 35= black black , 36=special item
#	37=PIPE DOWN , 38= PIPE UP , 39= SCORE AND 1VP ,40= WORDS END SCENE COURSE CLEAR , 41=WORDS END SCENE YOU GOT A CARD , 42=WORDS END SCENE ITEM
#	43= GACH BE ANIMATION TYPE LEFT TOP, 44= GACH BE ANIMATION TYPE RIGHT TOP, 45= GACH BE ANIMATION TYPE RIGHT BOTTOM, 46= GACH BE ANIMATION TYPE LEFT BOTTOM
#Obj_type	index_col	index_row	ani_set
[OBJECTS]

1	-16	140	601
1	0	150	601
1	16	150	602
1	32	150	602
1	48	150	602
1	64	150	602
1	80	150	602
1	96	150	602
1	112	150	602
1	128	150	602
1	144	150	602
1	160	150	602
1	176	150	602
1	192	150	602
1	208	150	602
1	224	150	602
1	240	150	602
1	256	150	602
1	272	150	602
1	288	150	602
1	304	150	602
1	320	150	602
1	336	150	602
1	352	150	602
1	368	150	602
1	384	150	602
1	400	150	602
1	416	150	602
1	432	150	602
1	448	150	602
1	416	150	602
1	432	150	602
1	448	150	602
1	464	150	602
1	480	150	602
1	496	150	602
1	512	150	602
1	528	150	602
1	544	150	602
1	560	150	602
1	576	150	602
1	592	150	602
1	608	150	602
1	624	150	602
1	640	150	602
1	656	150	602
1	672	150	602
1	688	150	602
1	704	150	602
1	720	150	602
1	736	150	603
1	752	150	604
1	752	134	601




#khúc du?ng lên

1	768	150	604
1	784	150	604

# g?ch h?i ch?m--(khúc du?ng lên)---
#lá

3	768	134	395

#d?ng xu 2
12	852	87	1141
#g?ch h?i ch?m d?u tiên du?ng lên
12	800	118	4491
3	800	118	395
---

1	800	150	604
1	816	150	604
1	832	150	604
1	848	150	604
1	864	150	604
1	880	150	604
1	896	150	604
1	912	150	604
1	928	150	604
1	944	150	604
1	960	150	604
1	976	150	604
1	992	150	604
1	1008	150	604
1	1024	150	604
1	1040	150	604
1	1056	150	604
1	1072	150	604
1	1088	150	604
1	1104	150	604
1	1120	150	604
1	1136	150	604
1	1152	150	604
1	1168	150	604
1	1184	150	604
1	1200	150	604
1	1216	150	604
1	1232	150	604


1	751	134	601
1	768	134	602
1	784	134	602
1	800	134	602
1	816	134	602
1	832	134	602
1	848	134	602
1	864	134	602
1	880	134	602
1	896	134	602
1	912	134	602
1	928	134	602
1	944	134	602
1	960	134	602
1	976	134	602
1	992	134	602
1	1008	134	602
1	1024	134	602
1	1040	134	602
1	1056	134	602
1	1072	134	602
1	1088	134	602
1	1104	134	602
1	1120	134	602
1	1136	134	602
1	1152	134	602
1	1168	134	602
1	1184	134	602
1	1200	134	602
1	1216	134	602
1	1232	134	602

#=====Ð?ng xu----+++++++++
10	1232	70	1142
10	1264	38	1142
10	1296	6	1142	
10	1228	-26	1142
10	1160	-58	1142

#khúc du?ng th?ng 1

1	1310	150	601
1	1326	150	602
1	1342	150	602
1	1358	150	602
1	1374	150	602
1	1390	150	602
1	1406	150	602
1	1422	150	602
1	1438	150	602
1	1454	150	602
1	1470	150	602
1	1486	150	602
1	1502	150	602
1	1518	150	602
1	1534	150	602
1	1550	150	602
1	1566	150	602
1	1582	150	602
1	1598	150	602
1	1614	150	602
1	1630	150	602
1	1646	150	602
1	1662	150	602
1	1630	150	602
1	1646	150	602
1	1662	150	602
1	1678	150	602
1	1694	150	602
1	1710	150	602
1	1726	150	603



#g?ch h?i ch?m----
12	200	87	1142
3	200	87	395

12	216	87	1142
3	216	87	395

3	232	55	395
#n?m
12	248	55	4490

3	248	55	395
----------





#====hoa d?
8	409	118	8



#?ng có hoa


1	394	135	540
1	409	135	541
1	425	135	542

1	393	119	543
1	409	119	544
1	425	119	545

1	393	103	546
1	409	103	547
1	425	103	548


#test bóng



#g?ch ch?m h?i
12	467	55	1142
3	467	55	395


#g?ch ch?n rùa
#1	710	110	395
#1	589	115	395	

#g?ch câu h?i
3	852	87	395


# du?ng th?ng 1



#rang
1	1610	-30	209
1	1626	-30	209
1	1642	-30	209
1	1658	-30	209

#rang
1	1690	-46	209
1	1706	-46	209
1	1722	-46	209
1	1738	-46	209
1	1754	-46	209
1	1770	-46	209
1	1786	-46	209
1	1802	-46	209
1	1818	-46	209
1	1834	-46	209
1	1850	-46	209
1	1866	-46	209
1	1882	-46	209

#dong su
10	1674	-100	1142
10	1690	-100	1142

10	1738	-90	1142
10	1754	-90	1142
10	1770	-90	1142
10	1786	-90	1142

10	1818	-110	1142
10	1834	-110	1142
10	1850	-110	1142
10	1866	-110	1142



#dong su
10	1482	-130	1142
10	1498	-130	1142
10	1514	-130	1142



#g?ch h?i ch?m
12	1690	103	4491
3	1690	103	395





#du?ng th?ng 2

#g?ch c?ng

1	1742	71	5081
1	1758	71	5081	

#du?ng m?i th?ng 2
1	1796	150	601
1	1812	150	602
1	1828	150	602
1	1844	150	602
1	1860	150	603


# d?ng g?ch c?ng
1	1828	134	5081
1	1844	134	5081
1	1860	134	5081

1	1844	118	5081
1	1860	118	5081

1	1860	102	5081

#th?ng 3

#du?ng m?i
1	1940	150	601
1	1956	150	602
1	1972	150	602
1	1988	150	602
1	2004	150	602
1	2020	150	602
1	2036	150	602
1	2052	150	602
1	2068	150	602
1	2084	150	602
1	2100	150	602
1	2116	150	602
1	2132	150	602
1	2148	150	602
1	2164	150	602
1	2180	150	602
1	2196	150	602
1	2212	150	602
1	2228	150	602
1	2244	150	602
1	2260	150	602
1	2276	150	602
1	2292	150	602
1	2308	150	602
1	2324	150	602
1	2340	150	602
1	2356	150	602
1	2372	150	602
1	2388	150	602
1	2404	150	602
1	2420	150	602
1	2436	150	602
1	2452	150	602
1	2468	150	602
1	2484	150	602
1	2500	150	602
1	2516	150	602
1	2532	150	602
1	2548	150	602
1	2564	150	603


# d?ng g?ch c?ng
1	1940	134	5081
1	1956	134	5081
1	1972	134	5081

1	1940	118	5081
1	1956	118	5081

1	1940	102	5081

#?ng có cây
#hoa k b?n
8	2084	103	888

1	2069	135	540
1	2084	135	541
1	2100	135	542

1	2068	119	543
1	2084	119	544
1	2100	119	545


1	2068	103	546
1	2084	103	547
1	2100	103	548

#?ng có cây to
#hoa xanh b?n
8	2190	135	88

1	2175	135	540
1	2190	135	541
1	2206	135	542

1	2175	119	540
1	2190	119	541
1	2206	119	542

1	2175	119	540
1	2190	119	541
1	2206	119	542

1	2174	103	543
1	2190	103	544
1	2206	103	545

1	2174	87	546
1	2190	87	547
1	2206	87	548



#9	2190	55	208

# d?ng g?ch v? b?c tu?ng
5	2286	135	5
5	2302	135	5
5	2318	135	5
5	2334	135	5
5	2350	135	5
5	2366	135	5
5	2382	135	5

5	2302	119	5
5	2318	119	5
5	2334	119	5
5	2350	119	5
5	2366	119	5

5	2318	103	5
5	2334	103	5
5	2350	103	5

3	2366.5	103	396
5	2366	103	5


#chuông ch? p
15	2366	87	15

7	2425	100	7
5	2430	135	5
5	2446	135	5

5	2430	119	5


#bóng den

2	2526	143	1071
2	2526	135	1071
2	2526	127	1072
2	2526	119	1073
2	2526	111	1072


#khúc du?ng th?ng 4:

1	2606	150	601
1	2622	150	602
1	2638	150	602
1	2654	150	602
1	2670	150	602
1	2686	150	602
1	2702	150	602
1	2718	150	602
1	2734	150	602
1	2750	150	602
1	2766	150	602
1	2782	150	602
1	2798	150	602
1	2814	150	602
1	2830	150	602
1	2846	150	602
1	2862	150	602
1	2878	150	602
1	2894	150	602
1	2910	150	602
1	2926	150	602
1	2942	150	602
1	2958	150	602
1	2974	150	602
1	2990	150	602
1	3006	150	602
1	3022	150	602
1	3038	150	602
1	3054	150	602
1	3070	150	602
1	3086	150	602
1	3102	150	602
1	3118	150	602
1	3134	150	602
1	3150	150	602
1	3166	150	602
1	3182	150	602
1	3198	150	602
1	3214	150	602
1	3230	150	603

#?ng khói:
1	2622	135	540
1	2637	135	542

1	2622	119	540
1	2637	119	542

1	2622	103	5081
1	2637	103	5081


1	2622	7	540
1	2637	7	542
1	2622	-9	540
1	2637	-9	542
1	2622	-25	543
1	2637	-25	545			
1	2622	-41	546
1	2637	-41	548


# ?ng ti?p
1	2686	135	543
1	2701	135	545

1	2686	119	546
1	2701	119	548



20	3046	59	408

#n?m

#==== WORDS END SCENE 1

21	3000	30	1140
22	3000	50	1145
22	3120	40	1146


#bóng:
#11	100	100	208
#11	100	100	208

#bóng hoa
#9	409	70	208

#goomba
4	250	100	4
4	1000	100	4
14	1095	100	14
4	920	100	4 
4	600	80	4  


#koopas 
7	600	80	7
16	1642	80	100
17	1580	52	200	
17	1480	50	200

#30	128	20	99

#####################	
1	0	406	101
1	16	406	101
1	32	406	101
1	48	406	101
1	64	406	101
1	80	406	101
1	96	406	101
1	112	406	101
			
			
			
1	128	406	101
1	144	406	101
1	160	406	101
1	176	406	101
1	192	406	101
1	208	406	101
1	224	406	101
1	240	406	101
1	256	406	101
1	272	406	101
1	288	406	101
1	304	406	101
1	320	406	101
1	336	406	101
1	352	406	101
1	368	406	101
1	384	406	101
1	400	406	101
1	416	406	101
1	432	406	101
1	448	406	101
1	464	406	101
1	480	406	101
1	496	406	101
#
1	0	390	101
1	16	390	101
1	32	390	101
1	48	390	101
1	64	390	101
1	80	390	101
1	96	390	101
1	112	390	101
1	128	390	101
1	144	390	101
1	160	390	101
1	176	390	101
1	192	390	101
1	208	390	101
1	224	390	101
1	240	390	101
1	256	390	101
1	272	390	101
1	288	390	101
1	304	390	101
1	320	390	101
1	336	390	101
1	352	390	101
1	368	390	101
1	384	390	101
1	400	390	101
1	416	390	101
1	432	390	101
1	448	390	101
1	464	390	101
1	480	390	101
1	496	390	101
#
1	0	374	101
1	16	374	101
1	32	374	101
1	48	374	101
1	64	374	101
1	80	374	101
1	96	374	101
1	112	374	101
1	256	374	101
1	272	374	101
1	288	374	101
1	304	374	101
1	320	374	101
1	336	374	101
1	352	374	101
1	368	374	101
1	384	374	101
1	400	374	101
1	416	374	101
1	432	374	101
1	448	374	101
1	464	374	101
1	480	374	101
1	496	374	101
#
1	0	358	101
1	16	358	101
1	32	358	101
1	48	358	101
1	64	358	101
1	80	358	101
1	96	358	101
1	112	358	101
1	272	358	101
1	288	358	101
1	304	358	101
1	320	358	101
1	336	358	101
1	352	358	101
1	368	358	101
1	384	358	101
1	400	358	101
1	416	358	101
1	432	358	101
1	448	358	101
1	464	358	101
1	480	358	101
1	496	358	101

1	0	342	101
1	16	342	101
1	32	342	101
1	48	342	101
1	64	342	101
1	80	342	101
1	96	342	101
1	112	342	101
1	288	342	101
1	304	342	101
1	320	342	101
1	336	342	101
1	352	342	101
1	368	342	101
1	384	342	101
1	400	342	101
1	416	342	101
1	432	342	101
1	448	342	101
1	464	342	101
1	480	342	101
1	496	342	101
#
1	0	326	101
1	16	326	101
1	32	326	101
1	48	326	101
1	64	326	101
1	80	326	101
1	96	326	101
1	112	326	101
1	304	326	101
1	320	326	101
1	336	326	101
1	352	326	101
1	368	326	101
1	384	326	101
1	400	326	101
1	416	326	101
1	432	326	101
1	448	326	101
1	464	326	101
1	480	326	101
1	496	326	101
#
1	0	310	101
1	16	310	101
1	32	310	101
1	48	310	101
1	64	310	101
1	80	310	101
1	96	310	101
1	112	310	101
1	320	310	101
1	336	310	101
1	352	310	101
1	368	310	101
1	384	310	101
1	400	310	101
1	416	310	101
1	432	310	101
1	448	310	101
1	464	310	101
1	480	310	101
1	496	310	101

1	0	294	101
1	16	294	101
1	32	294	101
1	48	294	101
1	64	294	101
1	80	294	101
1	96	294	101
1	112	294	101
1	336	294	101
1	352	294	101
1	368	294	101
1	384	294	101
1	400	294	101
1	416	294	101
1	432	294	101
1	448	294	101
1	464	294	101
1	480	294	101
1	496	294	101

1	0	278	101
1	16	278	101
1	32	278	101
1	48	278	101
1	64	278	101
1	80	278	101
1	96	278	101
1	112	278	101
1	368	278	101
1	384	278	101
1	400	278	101
1	416	278	101
1	432	278	101
1	448	278	101
1	464	278	101
1	480	278	101
1	496	278	101
1	0	262	101
1	16	262	101
1	32	262	101
1	48	262	101
1	64	262	101
1	80	262	101
1	96	262	101
1	112	262	101
1	368	262	101
1	384	262	101
1	400	262	101
1	416	262	101
1	432	262	101
1	448	262	101
1	464	262	101
1	480	262	101
1	496	262	101
1	0	246	101
1	16	246	101
1	32	246	101
1	48	246	101
1	64	246	101
1	80	246	101
1	96	246	101
1	112	246	101
1	368	246	101
1	384	246	101
1	400	246	101
1	416	246	101
1	432	246	101
1	448	246	101
1	464	246	101
1	480	246	101
1	496	246	101
1	0	230	101
1	16	230	101
1	32	230	101
1	48	230	101
1	64	230	101
1	80	230	101
1	96	230	101
1	112	230	101
1	128	230	101
1	144	230	101
1	160	230	101
1	176	230	101
1	192	230	101
1	208	230	101
1	224	230	101
1	240	230	101
1	256	230	101
1	272	230	101
1	288	230	101
1	304	230	101
1	320	230	101
1	336	230	101
1	352	230	101
