#F# id	file_path	transparent_color_r	g	b
[TEXTURES]
0	textures\world_map_1.png	255	255	255
10	textures\world_map_sprites.png	248	236	160
20	textures\world_map_1_bank.png	255	255	255
30	textures\mario2.png	255	255	255
40	textures\world_map_sprites_2.png	248	236	160
50	textures\HUD.png	0	224	142
70	textures\map.png	156	252	240
1	textures\worldmap.png	0	0	255
2	textures\worldmap2.png	0	0	255
90	textures\HUD.png	51	255	191
80	textures\black.png	51	255	191
3	textures\wmap.png	242	205	163

# id	left	top	right	bottom	texture_id
[SPRITES]
#==== BUSH
1009	1	17	17	32	10
1010	18	17	34	32	10
1011	35	17	51	32	10
1012	52	17	68	32	10

# Mario
41	138	50	152	66	1
42	155	50	169	66	1
# Người
43	103	17	119	32	1
44	120	17	136	31	1
#rùa đi trái
4000	35	17	52	32	40
4001	18	18	34	32	40
#đi phải
4002	103	17	119	32	10
4003	120	18	136	32	10
#===HELP
1000	1	2	17	15	10
1010	1	1	1	1	10
#==== CHU M TRANG
1001	18	0	34	16	10


# Cây
11	1	17	17	32	1
12	18	17	34	32	1
13	35	17	51	32	1
14	52	17	68	32	1

# Nền
100	1	1	17	16	1
# Nấm
200	69	17	85	32	1
# Start
300	1	33	17	49	1	
# Pháo đài
400	69	1	85	16	1
# Ổ khóa
500	86	17	102	32	1	
# Lá bài
600	137	33	153	49	1
# Lâu đài
700	52	1	68	16	1
# Cục đá
800	120	50	136	66	1
# Cây
11	1	17	17	32	1
12	18	17	34	32	1
13	35	17	51	32	1
14	52	17	68	32	1
# Nút
21	137	0	153	15	1
22	154	0	170	15	1
23	154	34	170	49	1
# Đường đi
24	50	52	66	67	2	
25	71	28	87	44	2
# Level
31	35	33	51	48	1
32	52	33	68	48	1
33	69	33	85	48	1
34	86	33	102	48	1
35	103	33	119	48	1
36	120	33	136	48	1
# Mario
41	138	50	152	66	1
42	155	50	169	66	1
# Người
43	103	17	119	32	1
44	120	17	136	31	1
# Cầu
51	69	50	85	66	1
# Sông
61	1	50	17	66	1
62	18	50	34	66	1
63	35	50	51	66	1
64	52	50	68	66	1
65	86	50	102	66	1
66	103	50	119	66	1

#============== HUD===============
66660	11	127	165	157	90
66661	11	124	400	165	80
66662	171	127	245	157	90
# Number
0	77	31	85	38	90
1	87	31	95	38	90
2	97	31	105	38	90
3	107	31	115	38	90
4	117	31	125	38	90
5	127	31	135	38	90
6	137	31	145	38	90
7	147	31	155	38	90
8	157	31	165	38	90
9	167	31	175	38	90

# Item
# Mushroom
91001	188	165	204	181	90
# Flower
91002	212	165	228	181	90
# Star
91003	236	165	252	181	90
# Chữ M
91004	16	160	31	167	90
# Chữ L
91005	16	170	31	177	90
# Power
# Mũi tên
91011	64	162	72	169	90	
91012	92	162	99	169	90
# Chữ P
91013	71	162	88	169	90
91014	100	162	115	169	90

# Background
11111	0	0	255	185	3

#========================================



# ani_id	sprite1_id	time1	sprite2_id	time2	...
[ANIMATIONS]

#background
1111	11111	100

#==== BUSH
2000	1009	100	1010	100	1011	100	1012	100

# Mario
141	41	100	42	100

# Người
142	43	100	44	100

#=====HELP
2001	1000	300	1010	100

# Cây
111	11	100	12	100	13	100	14	100

# Nền
101	100	100
# Nấm
102	200	100
# Start
103	300	100
# Pháo đài
104	400	100
# Ổ khóa
105	500	100
# Lá bài
106	600	100
# Lâu đài
107	700	100
# Cục đá
108	800	100
# Cây
111	11	100	12	100	13	100	14	100

#rùa 
#đi trái
4000	4000	100	4001	100
4010	4002	100	4003	100

# Nút
121	21	100
122	22	100
123	23	100
# Đường đi
124	24	100
125	25	100
# Level
131	31	100
132	32	100
133	33	100
134	34	100
135	35	100
136	36	100
#chữ M
2002	1001	100

# Mario
141	41	100	42	100

# Người
142	43	100	44	100
# Cầu
151	51	100
# Sông
161	61	100
162	62	100
163	63	100
164	64	100
165	65	100
166	66	100

# id	ani1	ani2	ani3
#
[ANIMATION_SETS]
# Cây
11	200
# Mario
41	141	141	141	141	141	141	141	141	141	141	141	141	141	141	141	141	141	141	141	141	141	141	141	141
#background
111	1111
#rùa
17	4000	4010
# Người
42	142
# Nền
1	101
# Nấm
2	102	102
# Start
3	103	103
# Pháo đài
4	104	104
# Ổ khóa
5	105
# Lá bài
6	106	106
# Lâu đài
7	107
# Cục đá
8	108
# Cây
11	111


#help
2001	2001

# Nút
21	121	121
22	122	122
23	123	123
# Đường đi
24	124	
25	125
# Level
31	131	2002		
32	132	2002
33	133	2002
34	134	2002
35	135	2002
36	136	2002
# Mario
41	141	141	141	141	141	141	141	141	141	141	141	141	141	141	141	141	141	141	141	141	141	141	141	141

# Người
42	142
# Cầu
51	151
# Sông
61	161
62	162
63	163
64	164
65	165
66	166

[OBJECTS]
# type	x	y	ani_set_id	extra_settings per object type
# type: 0 = Mario , 1 = Brick, 2 = tree
# MARIO	
# Line 1
18	61	48	31
1	61	64	31
18	61	80	31
1	61	96	31
18	61	112	31
1	61	128	31
1	61	160	35
1	61	160	11
1	78	160	11
1	94	160	11
1	110	160	11
1	126	160	11
1	142	160	11
1	142	144	1
18	126	112	21

18	94	144	35
1	78	160	35
1	94	176	1

18	93	16	31
18	189	16	33
1	189	32	33
1	173	32	33
18	189	48	33
18	157	48	34
18	125	48	34
1	78	96	1
#background	
2	0	0	111

# Line 1			
1	14	16	11
1	14	32	11
#1	14	48	24
1	14	64	11
1	14	80	11
1	14	96	11
#1	14	112	1
#1	14	128	1
#1	14	144	1
#1	14	160	1
# Line 2			
1	30	16	11
1	30	32	11
#1	30	48	3
1	30	64	11
1	30	80	11
#1	30	96	1
#1	30	112	1
#1	30	128	8
#1	30	144	8
#1	30	160	1
# Line 3			
1	46	16	11
1	46	32	11
#1	46	48	24
1	46	64	11
1	46	80	11
#1	46	96	1
#1	46	112	8
#1	46	128	8
#1	46	144	8
#1	46	160	1
#Line 4


# Line 5			
#1	78	16	24
1	78	32	11
1	78	48	11
1	78	64	11
#1	78	80	24
#1	78	96	1
#1	78	112	8
#1	78	128	8
#1	78	144	24
#1	78	160	1
# Line 6			
#1	94	16	21
1	94	32	11
1	94	48	11
1	94	64	11
#1	94	80	4
1	94	96	11
#1	94	112	2
#1	94	128	8
#1	94	144	21
#1	94	160	1			
# Line 7			
#1	110	16	24
1	110	32	11
1	110	48	11
1	110	64	11
#1	110	80	24
1	110	96	11
#1	110	112	24
#1	110	128	1
#1	110	144	24
#1	110	160	1			
# Line 8			
#1	126	16	32
#1	126	32	25
#1	126	48	22
#1	126	64	25
#1	126	80	6
1	126	96	11
#1	126	112	21
#1	126	128	25
#1	126	144	36
#1	126	160	1			
# Line 9			
#1	142	16	24
1	142	32	11
#1	142	48	24
1	142	64	11
1	142	80	11
#1	142	96	64
#1	142	112	51
#1	142	128	61
#1	142	144	66
#1	142	160	1			
# Line 10			
#1	158	16	33
1	158	32	11
#1	158	48	34
1	158	64	11
1	158	80	11
#1	158	96	62
#1	158	112	21
#1	158	128	1
#1	158	144	62
#1	158	160	1			
# Line 11			
#1	174	16	24
1	174	32	11
#1	174	48	24
1	174	64	11
#1	174	80	64
#1	174	96	65
#1	174	112	24
#1	174	128	1
#1	174	144	62
#1	174	160	1			
# Line 12			
#1	190	16	21
#1	190	32	25
#1	190	48	2
1	190	64	11
#1	190	80	62
#1	190	96	1
#1	190	112	7
#1	190	128	1
#1	190	144	62
#1	190	160	1		
# Line 13			
1	206	16	11
1	206	32	11
1	206	48	11
1	206	64	11			
# Line 14			
1	222	16	11
